t,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1.1091999112977646e-05,1.010989010989011,63.868131868131876,64.57142857142858,-97.62637362637362,89.36263736263736,1.6927083333333333
0.10219664800024475,1.010989010989011,52.96703296703297,64.57142857142858,-97.36263736263736,89.36263736263736,1.6927083333333333
0.20013633300004585,1.098901098901099,44.87912087912088,64.57142857142858,-97.36263736263736,89.36263736263736,1.6927083333333333
0.3022024620004231,1.098901098901099,39.956043956043956,64.65934065934067,-97.36263736263736,89.36263736263736,1.6927083333333333
0.40014261000033,1.010989010989011,37.23076923076923,64.65934065934067,-97.36263736263736,89.36263736263736,1.6927083333333333
0.5022047399997973,1.010989010989011,34.769230769230774,64.65934065934067,-97.36263736263736,89.36263736263736,1.6927083333333333
0.600158035998902,0.9230769230769231,33.62637362637363,64.65934065934067,-97.36263736263736,89.36263736263736,1.6927083333333333
0.7022145179998915,0.9230769230769231,31.516483516483518,64.65934065934067,-97.36263736263736,89.36263736263736,1.6927083333333333
0.8001671660003922,1.010989010989011,28.000000000000004,64.65934065934067,-97.36263736263736,89.36263736263736,1.6927083333333333
0.9022272210004303,1.010989010989011,23.42857142857143,64.74725274725276,-97.36263736263736,89.36263736263736,1.6927083333333333
1.0001799250003387,1.098901098901099,17.362637362637365,64.74725274725276,-97.36263736263736,89.36263736263736,1.6927083333333333
1.1022397769993404,1.1868131868131868,10.945054945054945,64.74725274725276,-97.36263736263736,89.36263736263736,1.6927083333333333
1.200191461999566,1.2747252747252746,7.6923076923076925,64.74725274725276,-97.36263736263736,89.36263736263736,1.6927083333333333
1.3022530359994562,1.4505494505494505,7.164835164835165,64.74725274725276,-97.36263736263736,89.36263736263736,1.6927083333333333
1.4002045170000201,1.4505494505494505,7.0769230769230775,64.74725274725276,-97.36263736263736,89.36263736263736,1.6927083333333333
1.5022649990005448,1.4505494505494505,6.98901098901099,64.74725274725276,-97.36263736263736,89.36263736263736,1.6927083333333333
1.600220164998973,1.4505494505494505,6.98901098901099,64.74725274725276,-97.36263736263736,89.36263736263736,1.6927083333333333
1.7022804249991168,1.2747252747252746,6.813186813186814,64.74725274725276,-97.36263736263736,89.36263736263736,1.6927083333333333
1.8002331469997443,1.1868131868131868,5.142857142857143,64.74725274725276,-97.36263736263736,89.36263736263736,1.6927083333333333
1.9022918689988728,1.3626373626373627,0.6593406593406594,64.74725274725276,-97.36263736263736,89.36263736263736,1.6927083333333333
2.000246571999014,1.4505494505494505,-5.318681318681299,64.74725274725276,-97.36263736263736,89.36263736263736,1.6927083333333333
2.1023035910002363,1.5384615384615385,-11.64835164835163,64.74725274725276,-97.45054945054945,89.36263736263736,1.6927083333333333
2.200256554000589,1.5384615384615385,-16.219780219780223,64.74725274725276,-97.45054945054945,89.36263736263736,1.6927083333333333
